target_id	length	eff_length	est_counts	tpm
hCoV-19/USA/CA-LACPHL-AY06024/2022|EPI_ISL_19070571|2022-01-06	32090	31741	2500	31312.4
PB1|EPI_ISL_18681129	2274	1925	0	0
PA|EPI_ISL_18681129	2151	1802	0	0
HA|EPI_ISL_18681129	1701	1352	0	0
NP|EPI_ISL_18681129	1497	1148	0	0
NA|EPI_ISL_18681129	1410	1061	0	0
MP|EPI_ISL_18681129	982	633	0	0
NS|EPI_ISL_18681129	838	489	0	0
HA|EPI_ISL_19029147	1762	1413	292	82155.8
PB2|EPI_ISL_19029147	2341	1992	328	65460.9
PB1|EPI_ISL_19029147	2341	1992	294	58675.3
PA|EPI_ISL_19029147	2233	1884	320	67525.3
NS|EPI_ISL_19029147	890	541	291	213842
MP|EPI_ISL_19029147	1027	678	338	198191
NP|EPI_ISL_19029147	1566	1217	318	103881
NA|EPI_ISL_19029147	1467	1118	316	112368
PB2|EPI_ISL_18981506	2280	1931	0	0
PB1|EPI_ISL_18981506	2274	1925	0	0
PA|EPI_ISL_18981506	2151	1802	0	0
HA|EPI_ISL_18981506	1701	1352	0	0
NP|EPI_ISL_18981506	1497	1148	0	0
NA|EPI_ISL_18981506	1410	1061	0	0
MP|EPI_ISL_18981506	982	633	0	0
NS|EPI_ISL_18981506	838	489	0	0
PB2|EPI_ISL_18043694	2340	1991	0	0
PB1|EPI_ISL_18043694	2333	1984	0	0
PA|EPI_ISL_18043694	2219	1870	0	0
HA|EPI_ISL_18043694	1751	1402	0	0
NP|EPI_ISL_18043694	1556	1207	0	0
NA|EPI_ISL_18043694	1455	1106	0	0
MP|EPI_ISL_18043694	1016	667	0	0
NS|EPI_ISL_18043694	879	530	0	0
hRSV/B/Netherlands/12-001238/2012|EPI_ISL_2584506|2012-01-07	15275	14926	2500	66587.7
