target_id	length	eff_length	est_counts	tpm
hCoV-19/USA/CA-LACPHL-AY06024/2022|EPI_ISL_19070571|2022-01-06	32090	31741	2500	30869.7
PB1|EPI_ISL_18681129	2274	1925	0	0
PA|EPI_ISL_18681129	2151	1802	0	0
HA|EPI_ISL_18681129	1701	1352	0	0
NP|EPI_ISL_18681129	1497	1148	0	0
NA|EPI_ISL_18681129	1410	1061	0	0
MP|EPI_ISL_18681129	982	633	0	0
NS|EPI_ISL_18681129	838	489	0	0
HA|EPI_ISL_19029147	1762	1413	322	89315.5
PB2|EPI_ISL_19029147	2341	1992	112.412	22117.5
PB1|EPI_ISL_19029147	2341	1992	314	61780.8
PA|EPI_ISL_19029147	2233	1884	292	60745.6
NS|EPI_ISL_19029147	890	541	312	226032
MP|EPI_ISL_19029147	1027	678	4.44853e-05	0.0257158
NP|EPI_ISL_19029147	1566	1217	309	99513.3
NA|EPI_ISL_19029147	1467	1118	0.00985815	3.45595
PB2|EPI_ISL_18981506	2280	1931	0	0
PB1|EPI_ISL_18981506	2274	1925	0	0
PA|EPI_ISL_18981506	2151	1802	0	0
HA|EPI_ISL_18981506	1701	1352	0	0
NP|EPI_ISL_18981506	1497	1148	0	0
NA|EPI_ISL_18981506	1410	1061	0	0
MP|EPI_ISL_18981506	982	633	0	0
NS|EPI_ISL_18981506	838	489	0	0
PB2|EPI_ISL_18043694	2340	1991	182.588	35943
PB1|EPI_ISL_18043694	2333	1984	0	0
PA|EPI_ISL_18043694	2219	1870	0	0
HA|EPI_ISL_18043694	1751	1402	0	0
NP|EPI_ISL_18043694	1556	1207	0	0
NA|EPI_ISL_18043694	1455	1106	331.99	117648
MP|EPI_ISL_18043694	1016	667	324	190385
NS|EPI_ISL_18043694	879	530	0	0
hRSV/B/Netherlands/12-001238/2012|EPI_ISL_2584506|2012-01-07	15275	14926	2500	65646.2
